Municipio,Codigo,Gentilico,Prefeito_2021,Area,Populacao,DensidadeDemografica,Escolarizacao,IDHM,MortalidadeInfantil,ReceitasRealizadas,DespesasEmpenhadas,PIBpercapita
Terezinha,2615102,terezinhense,MATHEUS EMIDIO DE BARROS CALADO,151.450,7227,44.48,95.7,0.545,37.31,21604.02366,19867.65921,9190.63
Terra Nova,2615201,terra-novense,ALINE CLEANNE FILGUEIRA FREIRE DE CARVALHO,318.709,10314,28.95,98.2,0.599,-,27518.08336,23823.40346,6990.07
Timba&uacute;ba,2615300,timbaubense,MARINALDO ROSENDO DE ALBUQUERQUE,287.683,52587,184.63,97.7,0.618,7.46,112343.98832,105483.28235,12722.07
Toritama,2615409,toritamense,EDILSON TAVARES DE LIMA,25.704,47088,1383.21,91.5,0.618,7.1,83083.63642,76623.86499,15681.21
Tracunha&eacute;m,2615508,tracunhaense,ALUIZIO XAVIER DA SILVA,137.321,13856,110.27,97,0.605,10.7,30182.22942,27117.60582,9336.03
Trindade,2615607,trindadense,HELBE DA SILVA RODRIGUES NASCIMENTO,295.765,31103,113.77,97.9,0.595,21.05,70901.81336,71749.18902,10581.10
Triunfo,2615706,triunfense,LUCIANO FERNANDO DE SOUSA,191.518,15232,78.35,98.4,0.670,5.24,40748.33901,42441.73743,9721.31
Tupanatinga,2615805,tupanatinguense,SEVERINO SOARES DOS SANTOS,950.474,27793,25.70,96,0.519,25.94,58318.85729,54689.03625,7084.04
Tuparetama,2615904,tuparetamense,DOMINGOS S&Aacute;VIO DA COSTA TORRES,189.509,8266,44.38,98.6,0.634,32.52,24446.26538,23864.86133,10076.69
Venturosa,2616001,venturosense,EUDES TENORIO CAVALCANTI,335.482,18835,50.05,97.5,0.592,3.5,44512.02903,40869.5109,11366.79
Verdejante,2616100,verdejantense,HAROLDO SILVA TAVARES,476.039,9572,19.20,95,0.605,14.71,26578.73918,31719.74387,7927.33
Vertente do L&eacute;rio,2616183,vertentense do l&eacute;rio,RENATO LIMA DE SALES,73.631,7526,106.93,96.7,0.563,-,24038.25447,22271.32297,8851.57
Vertentes,2616209,vertentense,ROMERO LEAL FERREIRA,196.325,21172,92.82,94.1,0.582,13.79,51439.44604,38326.18208,8276.80
Vic&ecirc;ncia,2616308,vicenciense,GUILHERME DE ALBUQUERQUE MELO NUNES,228.017,32897,134.78,95.6,0.605,12.92,80651.40542,67622.02953,14579.38
Vit&oacute;ria de Santo Ant&atilde;o,2616407,vitoriense,PAULO ROBERTO LEITE DE ARRUDA,335.942,140389,348.80,96.9,0.640,12.1,299853.94132,243670.30247,30154.30
Xex&eacute;u,2616506,xexeuense,THIAGO GON&Ccedil;ALVES DE LIMA,110.815,14789,127.18,95,0.552,-,40117.31428,38369.64097,8628.60
